Published_Date,Currency_iso3,Currency_Name,Unit,Buy_Rate,Sell_Rate
2026-01-01 00:00:19,INR,Indian Rupee,100,160.00,160.15
2026-01-01 00:00:19,USD,U.S. Dollar,1,143.50,144.10
2026-01-01 00:00:19,EUR,European Euro,1,168.48,169.19
2026-01-01 00:00:19,GBP,UK Pound Sterling,1,193.00,193.81
2026-01-01 00:00:19,CHF,Swiss Franc,1,180.94,181.69
2026-01-01 00:00:19,AUD,Australian Dollar,1,95.94,96.34
2026-01-01 00:00:19,CAD,Canadian Dollar,1,104.71,105.15
2026-01-01 00:00:19,SGD,Singapore Dollar,1,111.58,112.05
2026-01-01 00:00:19,JPY,Japanese Yen,10,9.16,9.20
2026-01-01 00:00:19,CNY,Chinese Yuan,1,20.50,20.58
2026-01-01 00:00:19,SAR,Saudi Arabian Riyal,1,38.26,38.42
2026-01-01 00:00:19,QAR,Qatari Riyal,1,39.26,39.43
2026-01-01 00:00:19,THB,Thai Baht,1,4.53,4.55
2026-01-01 00:00:19,AED,UAE Dirham,1,39.07,39.24
2026-01-01 00:00:19,MYR,Malaysian Ringgit,1,35.36,35.51
2026-01-01 00:00:19,KRW,South Korean Won,100,9.95,9.99
2026-01-01 00:00:19,SEK,Swedish Kroner,1,15.59,15.66
2026-01-01 00:00:19,DKK,Danish Kroner,1,22.56,22.65
2026-01-01 00:00:19,HKD,Hong Kong Dollar,1,18.44,18.51
2026-01-01 00:00:19,KWD,Kuwaity Dinar,1,466.08,468.02
2026-01-01 00:00:19,BHD,Bahrain Dinar,1,380.64,382.23
2026-01-01 00:00:19,OMR,Omani Rial,1,372.73,374.29
2026-01-02 00:00:33,INR,Indian Rupee,100,160.00,160.15
2026-01-02 00:00:33,USD,U.S. Dollar,1,143.65,144.25
2026-01-02 00:00:33,EUR,European Euro,1,168.73,169.44
2026-01-02 00:00:33,GBP,UK Pound Sterling,1,193.55,194.36
2026-01-02 00:00:33,CHF,Swiss Franc,1,181.26,182.02
2026-01-02 00:00:33,AUD,Australian Dollar,1,95.85,96.25
2026-01-02 00:00:33,CAD,Canadian Dollar,1,104.67,105.10
2026-01-02 00:00:33,SGD,Singapore Dollar,1,111.70,112.17
2026-01-02 00:00:33,JPY,Japanese Yen,10,9.17,9.21
2026-01-02 00:00:33,CNY,Chinese Yuan,1,20.54,20.63
2026-01-02 00:00:33,SAR,Saudi Arabian Riyal,1,38.30,38.46
2026-01-02 00:00:33,QAR,Qatari Riyal,1,39.30,39.47
2026-01-02 00:00:33,THB,Thai Baht,1,4.56,4.58
2026-01-02 00:00:33,AED,UAE Dirham,1,39.11,39.28
2026-01-02 00:00:33,MYR,Malaysian Ringgit,1,35.43,35.57
2026-01-02 00:00:33,KRW,South Korean Won,100,9.97,10.01
2026-01-02 00:00:33,SEK,Swedish Kroner,1,15.59,15.66
2026-01-02 00:00:33,DKK,Danish Kroner,1,22.59,22.68
2026-01-02 00:00:33,HKD,Hong Kong Dollar,1,18.46,18.53
2026-01-02 00:00:33,KWD,Kuwaity Dinar,1,466.61,468.56
